,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
83,Abraham Adrian Albert,M,9 November 1905,1905.0,"Chicago, Illinois, USA",United States,6 June 1972,1972.0,"Chicago, Illinois, USA",United States,Ph.D.,Ph.D.,The University of Chicago,United States,1928.0,9.0,"['09', '16', '17', '15', '12', '20', '50', '01', '62', '11', '41', '14', '13', '10']",1928.0,122.0,1.0,30.0,347.0,A Adrian Albert was an American mathematician who worked on associative and non-associative algebras.
84,Leone Battista Alberti,M,18 February 1404,1404.0,"Genoa, French Empire (now Italy)",Italy,3 April 1472,1472.0,"Rome, Papal States (now Italy)",Italy,,,,,,,,,,,,,Leone Alberti was an Italian mathematician who wrote the first general treatise on the laws of perspective and also wrote a book on cryptography containing the first example of a frequency table.
85,Alcuin of York,M,735,735.0,"York, Yorkshire, England",United Kingdom,19 May 0804,804.0,"Tours, France",France,,,,,,,,,,,,,"Alcuin was an English mathematician who wrote elementary texts on arithmetic, geometry and astronomy."
86,Henry Aldrich,M,15 January 1648,1648.0,"Westminster, London, England",United Kingdom,14 December 1710,1710.0,"London, England",United Kingdom,,,,,,,,,,,,,Henry Aldrich was an English mathematician who published an important work on logic.
87,Aleksandr Danilovic Aleksandrov,M,4 August 1912,1912.0,"Volyn, Ryazan, Russia",Russia,27 July 1999,1999.0,"St Petersburg, Russia",Russia,,,,,,53.0,"['53', '52', '01', '35', '50', '51', '93', '83', '46', '02', '56', '81', '54', '55', '48', '39', '28', '20', '00']",1939.0,162.0,,,,Aleksandr Danilovic Aleksandrov was a Russian mathematician and physicist who worked in geometry and a wide variety of areas of physics. He wrote many textbooks.
88,Pavel Sergeevich Aleksandrov,M,7 May 1896,1896.0,"Bogorodsk (also called Noginsk), Russia",Russia,16 November 1982,1982.0,"Moscow, USSR",Russia,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1927.0,1.0,"['01', '56', '55', '54', '20', '27', '26', '00', '50', '46', '15', '09']",1924.0,201.0,2.0,41.0,2220.0,Pavel Aleksandrov was a Russian mathematician who made important contributions to general topology.
89,Grace Awani Alele-Williams,F,16 December 1932,1932.0,"Warri, Nigeria",Niger,25 March 2022,2022.0,"Lagos, Nigeria",Niger,,,,,,,,,,,,,"Grace Alele-Williams was the first Nigerian to be awarded a doctorate. She became a professor of mathematical education, then the first female Nigerian Vice-Chancellor of the University of Benin."
90,Jean Le Rond d'Alembert,M,17 November 1717,1717.0,"Paris, France",France,29 October 1783,1783.0,"Paris, France",France,Maitre-es-arts,M.A.,Collège Mazarin,France,1735.0,1.0,['01'],1968.0,4.0,1.0,1.0,142521.0,Jean d'Alembert was a a French mathematician who was a pioneer in the study of differential equations and their use of in physics. He studied the equilibrium and motion of fluids.
91,Archie Alphonso Alexander,M,14 May 1888,1888.0,"Ottumwa, Iowa, USA",United States,4 January 1958,1958.0,"Des Moines, Iowa, USA",United States,,,,,,,,,,,,,Archie Alexander was an African-American mathematician and engineer. He became governor of the U.S. Virgin Islands.
92,Conel Hugh O'Donel Alexander,M,19 April 1909,1909.0,"Cork, Ireland",Ireland,15 February 1974,1974.0,"Cheltenham, England",United Kingdom,,,,,,,,,,,,,"Conel Hugh O'Donel Alexander was an Irish-born British cryptanalyst, chess player and chess writer."
93,James Waddell Alexander,M,19 September 1888,1888.0,"Sea Bright, New Jersey, USA",United States,23 September 1971,1971.0,"Princeton, New Jersey, USA",United States,Ph.D.,Ph.D.,Princeton University,United States,1915.0,57.0,"['57', '56', '55', '76', '53', '14']",1912.0,26.0,1.0,2.0,2.0,James Alexander was an American mathematician who worked in topology. He is best known for the knot-theory invariant known as the Alexander polynomial.
94,Andrzej Tadeusz Alexiewicz,M,11 February 1917,1917.0,"Lwów, Poland, Austria-Hungarian Empire (now Lviv, Ukraine)",Austria,11 July 1995,1995.0,"Poznań, Poland",Poland,Ph.D.,Ph.D.,University of Lwów,Poland,1944.0,46.0,"['46', '40', '27', '34', '47', '39', '35', '30', '01']",1945.0,54.0,1.0,21.0,40.0,"Andrzej Alexiewicz was a Polish mathematician, born in what is now Ukraine, who was an expert at functional analysis."
95,Hannes Olof Gösta Alfvén,M,20 May 1908,1908.0,"Norrköping, Sweden",Sweden,2 April 1995,1995.0,"Djursholm, Sweden",Sweden,Ph.D.,Ph.D.,Uppsala Universitet,Sweden,1934.0,85.0,"['85', '78', '79', '76']",1941.0,8.0,0.0,0.0,0.0,"Hannes Olof Gösta Alfvén was a Swedish electrical engineer, plasma physicist and winner of a Nobel Prize in Physics."
96,Ala al-Din Ali ibn Muhammed Ali Qushji,M,1403,1403.0,"Samarkand, Timurid Empire, now Uzbekistan",Uzbekistan,16 December 1474,1474.0,"Constantinople, now Istanbul, Turkey",Turkey,,,,,,,,,,,,,"Ali Qushji was an Islamic astronomer and mathematician, born in what is now Uzbekistan, who worked at observatories in Samarkand and Constantinople and whose results influenced Copernicus to produce his heliocentric system."
97,John Alison,M,28 February 1861,1861.0,"Kirkcaldy, Fife, Scotland",United Kingdom,21 March 1952,1952.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,"John Alison graduated from Edinburgh University and taught at George Watson's College in Edinburgh, He became head of the Glasgow United Free Church Training College and later returned to George Watson's as headmaster."
98,Graham Robert Allan,M,13 August 1936,1936.0,"Southgate, Middlesex, England",United Kingdom,9 August 2007,2007.0,"Cambridge, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1964.0,46.0,"['46', '47', '32']",1965.0,40.0,1.0,18.0,109.0,Graham Allan was an English mathematician who specialised in functional analysis.
99,Robert Edgar Allardice,M,2 March 1862,1862.0,"Edinburgh, Scotland",United Kingdom,6 May 1928,1928.0,"Palo Alto, California, USA",United States,,,,,,51.0,['51'],1900.0,5.0,,,,Robert Alladice studied at Edinburgh University and was then appointed assistant to Professor Chrystal there. He became Professor at Stanford University in California. He worked in geometry.
100,Thomas Allen,M,21 December 1540,1540.0,"Uttoxeter, Staffordshire, England",United Kingdom,30 September 1632,1632.0,"Cambridge, England",United Kingdom,,,,,,,,,,,,,Thomas Allen was an English mathematician and antiquary important for his large collection of mathematical (and other) manuscripts.
101,Norman Larrabee Alling,M,8 February 1930,1930.0,"Rochester, New York, USA",United States,,,,,Ph.D.,Ph.D.,Columbia University,United States,1958.0,30.0,"['30', '46', '14', '12', '04', '06', '54', '26', '16', '13', '03', '01']",1958.0,38.0,1.0,2.0,68.0,"Norman Alling is an American mathematician who worked in a wide range of mathematics, from the theory of ordered groups to Riemann surfaces, including surreal numbers."
102,George Johnston Allman,M,28 September 1824,1824.0,"Dublin, Ireland",Ireland,9 May 1904,1904.0,"Dublin, Ireland",Ireland,,,,,,,,,,,,,"George Allman was an Irish professor, mathematician, classical scholar and historian of ancient Greek mathematics."
103,Francis Kofi Ampenyin Allotey,M,9 August 1932,1932.0,"Saltpond, Gold Coast (now Ghana)",Ghana,2 November 2017,2017.0,"Accra, Ghana",Ghana,,,,,,26.0,"['26', '81']",2007.0,3.0,,,,Francis Allotey was a mathematician and physicist from Ghana who was awarded a Ph.D. by Princeton University in 1966. He returned to Ghana where he spent his career as a professor of mathematics and did outstanding work promoting mathematics and physics at all levels throughout Africa.
104,Frederick Justin Almgren,M,3 July 1933,1933.0,"Birmingham, Alabama, USA",United States,5 February 1997,1997.0,"Princeton, USA",United States,Ph.D.,Ph.D.,Brown University,United States,1962.0,49.0,"['49', '58', '53', '01', '82', '76', '65', '55', '47', '46', '40', '32', '28', '00']",1962.0,70.0,1.0,19.0,160.0,Frederick Almgren was an American mathematician who worked in geometric measure theory.
105,Ugo Amaldi,M,18 April 1875,1875.0,"Verona, Italy",Italy,11 November 1957,1957.0,"Rome, Italy",Italy,,,,,,71.0,"['71', '01']",1946.0,3.0,,,,Ugo Amaldi was an Italian mathematician who worked in the fields of geometry and Lie groups.
106,Victor Amazaspovich Ambartsumian,M,18 September 1908,1908.0,"Tiflis, Russian Empire, now Tbilisi, Georgia",Georgia,12 August 1996,1996.0,"Byurakan, Armenia",Armenia,,,,,,85.0,"['85', '79', '78', '01', '00']",1941.0,18.0,,,,Viktor Ambartsumian was an Armenian astrophysicist who was born in what is now Georgia. He was one of the founders of theoretical astrophysics and worked in the field of the physics of stars and nebulae.
107,Ernst Julius Amberg,M,6 September 1871,1871.0,"Zürich, Switzerland",Switzerland,15 March 1952,1952.0,"Zürich, Switzerland",Switzerland,Ph.D.,Ph.D.,Universität Zürich,Switzerland,1897.0,,,,,1.0,0.0,0.0,Ernst Julius Amberg was a Swiss mathematician who helped to organise the first International Congress of Mathematicians.
108,Shimshon Avraham Amitsur,M,26 August 1921,1921.0,"Jeruselem, Palestine (now Israel)",Israel,5 September 1994,1994.0,"Jeruselem, Israel",Israel,Ph.D.,Ph.D.,Hebrew University of Jerusalem,Israel,1948.0,16.0,"['16', '09', '10', '01', '20', '18', '15', '13', '12', '65', '34']",1948.0,105.0,1.0,13.0,48.0,Shimshon Amitsur was an Israeli mathematician who worked in ring theory.
109,Luigi Amoroso,M,23 May 1886,1886.0,"Naples, Italy",Italy,28 October 1965,1965.0,"Naples, Italy",Italy,Ph.D.,Ph.D.,Università di Pisa,Italy,,90.0,"['90', '60']",1940.0,5.0,1.0,8.0,13.0,Luigi Amoroso was an Italian mathematician and economist who wrote on integral equatioins but is best known for his economic works.
110,André Marie Ampère,M,20 January 1775,1775.0,"Lyon, France",France,10 June 1836,1836.0,"Marseilles, France",France,,,,,,,,,,,,,André-Marie Ampère made important contributions to the theory of Electricity and magnetism. His theory became fundamental for 19th century developments.
111,John Howard Van Amringe,M,3 April 1835,1835.0,"Philadelphia, Pennsylvania, USA",United States,10 September 1915,1915.0,"Morristown, New Jersey, USA",United States,,,,,,,,,,,,,Howard Van Amringe was an American educator and mathematician.
112,Jacob Amsler,M,16 November 1823,1823.0,"Stalden bei Brugg, Switzerland",Switzerland,3 January 1912,1912.0,"Schaffhausen, Switzerland",Switzerland,,,,,,,,,,,,,"Jakob Amsler-Laffon was a Swiss mathematician, physicist, engineer and inventor."
113,John Ceres Amson,M,14 April 1927,1927.0,"Liverpool, England",United Kingdom,14 March 2023,2023.0,"Anstruther, Fife, Scotland",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1969.0,47.0,"['47', '15', '81', '46', '40', '01']",1971.0,9.0,1.0,0.0,0.0,"John Amson was a person of many talents making impressive contributions to welding, city planning and mathematics. He was a founding member, and later president, of the Alternative Natural Philosophy Association. His warmth, humour and energy inspired his friends and colleagues."
114,Anania Širakuni,M,about 595,595.0,"Anēank', Širak province, Armenia",Armenia,about 670,670.0,"Anavank', Armenia",Armenia,,,,,,,,,,,,,"Ananias of Shirak was a medieval Armenian polymath, known as the father of mathematical sciences within the Armenian tradition. The corpus of his works includes writings on mathematics, astronomy, theology, philosophy, geography, arithmetic and cosmography, including the earliest known book of arithmetic on the four basic operations."
115,Anaxagoras of Clazomenae,M,499 BC,-498.0,"Clazomenae (30 km west of Izmir), Lydia (now Turkey)",Turkey,428 BC,-427.0,"Lampsacus, Mysia (now Turkey)",Turkey,,,,,,,,,,,,,Anaxagoras was a Greek mathematician famed as the first to introduce philosophy to the Athenians. He was imprisoned for claiming that the Sun was not a god and that the Moon reflected the Sun's light.
116,Anaximander of Miletus,M,611 BC,-610.0,"Miletus near Söke, Turkey",Turkey,546 BC,-545.0,,,,,,,,,,,,,,,"Anaximander of Miletus was a Greek scholar who first proposed that the sun, moon and planets revolved around the earth. he invented the gnomon of a sun-dial."
117,Oskar Johann Viktor Anderson,M,2 August 1887,1887.0,"Minsk, Russian Empire (now Belarus)",Belarus,12 February 1960,1960.0,"Munich, Germany",Germany,,,,,,62.0,"['62', '01']",1954.0,5.0,,,,Oskar Anderson was a Ukranian-born German mathematician who was known for his work on mathematical statistics and econometrics.
118,Marie Henri Andoyer,M,1 October 1862,1862.0,"Paris, France",France,12 June 1929,1929.0,"Paris, France",France,Ph.D.,Ph.D.,"Faculté des Sciences, Paris",France,1886.0,,,,,0.0,3.0,4.0,Henri Andoyer was a French astronomer and mathematician who worked on the motion of the moon. He published mathematical tables and works on the history of astronomy.
119,Konstantin Alekseevich Andreev,M,26 March 1848,1848.0,"Moscow, Russia",Russia,29 October 1921,1921.0,"Near Sevastopol, Crimea",,,,,,,,,,,,,,"Konstantin Alekseevich Andreev was a Russian mathematician, best known for his work on geometry, especially projective geometry."
120,Aldo Andreotti,M,15 March 1924,1924.0,"Florence, Italy",Italy,21 February 1980,1980.0,"Pisa, Italy",Italy,Ph. D.,Ph.D.,Scuola Normale Superiore di Pisa and Università di Pisa,Italy,1947.0,32.0,"['32', '14', '58', '35', '57', '53', '48', '30', '09', '01']",1948.0,97.0,2.0,2.0,30.0,"Aldo Andreotti was an Italian mathematician who worked on algebraic geometry, on the theory of functions of several complex variables and on partial differential operators."
121,George W Eyre Andrews,M,4 December 1938,1938.0,"Salem, Oregon, USA",United States,,,,,Ph.D.,Ph.D.,University of Pennsylvania,United States,1964.0,11.0,"['11', '05', '10', '33', '01', '82', '20', '17', '15', '00', '68', '65', '62', '60', '42', '26', '16', '12']",1961.0,382.0,1.0,26.0,51.0,"George E Andrews is an American mathematician who worked in special functions, number theory, analysis and combinatorics"
122,Aurel Angelescu,M,15 April 1886,1886.0,"Ploiești, Prahova County, Romania",Romania,6 April 1938,1938.0,"Bucharest, Romania",Romania,,,,,,,,,,,,,Aurel Angelescu was a Romanian mathematician who contributed to the development of algebra and the theory of functions.
123,Stefano degli Angeli,M,21 September 1623,1623.0,"Venice, Venetian States (now Italy)",Italy,11 October 1697,1697.0,"Venice, Venetian States (now Italy)",Italy,,,,,,,,,,,,,"Stephano Angeli was an Italian mathematician who worked on infinitesimals and used them to study spirals, parabolas and hyperbolas."
124,Theodor Angheluță,M,28 April 1882,1882.0,"Adam, Tutova county, Romania",Romania,30 May 1964,1964.0,"Cluj, Romania",Romania,,,,,,39.0,"['39', '41', '01', '71', '48', '42', '33', '09']",1941.0,18.0,,,,"Theodor Angheluță was a Romanian mathematician who made important contributions to Function Theory, to Differential and Integral Equations, and to Functional and Algebraic Equations."
125,Alexander Obiefoka Enukora Animalu,M,28 August 1938,1938.0,"Oba, Idemili South Local Government Area of Anambra State, Nigeria",Niger,,,,,Ph.D.,Ph.D.,University of Ibadan,Nigeria,1965.0,83.0,"['83', '82', '81', '80', '34', '01']",1992.0,7.0,1.0,0.0,0.0,Alexander Animalu is a Nigerian theoretical physicist known for his work in superconductivity and solar energy.
126,Dmitrii Viktorovich Anosov,M,30 November 1936,1936.0,"Moscow, Russia",Russia,7 August 2014,2014.0,"Moscow, Russia",Russia,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1961.0,1.0,"['01', '58', '37', '57', '34', '70', '28', '93', '60', '55', '53', '32']",1959.0,95.0,1.0,3.0,25.0,Dmitri Anosov was a Russian mathematician who worked in dynamical systems theory.
127,Robert Richard Anstice,M,9 April 1813,1813.0,"Madeley, Shropshire, England",United Kingdom,17 December 1853,1853.0,"Wigginton (near Tring), Hertfordshire, England",United Kingdom,,,,,,,,,,,,,Robert Richard Anstice was an English clergyman and mathematician who wrote two remarkable papers on combinatorics.
128,Anthemius of Tralles,M,about 474,474.0,(possibly) Tralles (near Aydin in southwest Turkey),Turkey,about 534,534.0,,,,,,,,,,,,,,,Anthemius was the Byzantine architect who replaced the old church of Hagia Sophia at Constantinople. He described the construction of an ellipse with a string fixed at the two foci and he described the focal properties of the parabola.
129,Antiphon the Sophist,M,480 BC,-479.0,"(possibly) Athens, Greece",Greece,411 BC,-410.0,"Athens, Greece",Greece,,,,,,,,,,,,,Antiphon was a Greek orator and statesman who took up rhetoric as a profession. He was a Sophist and a contemporary of Socrates. There is some dispute about whether there was one of two philosophers of this name.
130,Louis Auguste Antoine,M,23 November 1888,1888.0,"Mirecourt, Vosges, France",France,8 February 1971,1971.0,"Rennes, Bretagne, France",France,,,,,,,[],1921.0,1.0,,,,Louis Antoine was a French mathematician famous for his invention of Antoine's necklace.
131,Kathleen Rita McNulty Mauchly Antonelli,F,12 February 1921,1921.0,"Creeslough, County Donegal, Ireland",Ireland,20 April 2006,2006.0,"Wyndmoor, Pennsylvania, USA",United States,,,,,,1.0,['01'],1984.0,1.0,,,,Kathleen McNulty Antonelli was an Irish-born American computer programmer who was one of the first to work with the early ENIAC machine.
132,János Apáczai Csere,M,10 June 1625,1625.0,"Apáca, Transylvania, Hungary (now Romania)",Hungary,31 December 1659,1659.0,"Kolozsvár, Hungary (now Cluj, Romania)",Hungary,,,,,,,,,,,,,János Apáczai was born in Transylvania and wrote the Hungarian Encyclopaedia.
